application_id,Interview Taken on,Status,event_name,Department,Post Name,Offered Salary
379557,2014-05-07 15:34:00,Hired,Female,Production Department,i4,61532
674051,2014-05-07 15:35:00,Rejected,Female,Production Department,i4,81261
928902,2014-05-07 16:26:00,Rejected,Female,Finance Department,b9,59644
22155,2014-05-07 16:26:00,Rejected,Female,Finance Department,b9,46852
572422,2014-05-07 08:07:00,Rejected,Male,Sales Department,i7,61488
496573,2014-05-07 16:01:00,Rejected,Male,Service Department,i7,83364
437695,2014-05-13 15:22:00,Rejected,Male,Service Department,i7,77517
983577,2014-05-08 07:13:00,Rejected,Male,Service Department,b9,84746
720850,2014-05-08 22:10:00,Rejected,Male,Sales Department,i6,80600
453498,2014-05-08 03:12:00,Hired,Male,Sales Department,i4,62937
37906,2014-05-08 03:16:00,Hired,Female,Sales Department,i4,95603
692080,2014-05-08 03:16:00,Hired,Male,Sales Department,i4,79230
735087,2014-05-08 03:16:00,Rejected,Male,Sales Department,i4,56650
855558,2014-05-08 11:52:00,Rejected,Female,Production Department,c5,75158
480514,2014-05-08 19:13:00,Rejected,Female,Operations Department,i1,50125
269204,2014-05-08 07:57:00,Hired,Don? want to say,Purchase Department,i5,43093
566403,2014-05-09 15:05:00,Hired,Female,Operations Department,c5,85201
269231,2014-05-09 12:28:00,Rejected,Female,General Management,i5,67557
45301,2014-05-09 12:30:00,Rejected,Female,General Management,i5,74863
455073,2014-05-09 13:53:00,Hired,Female,Service Department,i4,60370
499649,2014-05-09 17:27:00,Rejected,Female,Operations Department,i4,33331
611809,2014-05-09 17:31:00,Hired,Female,Operations Department,i4,28473
879830,2014-05-10 20:03:00,Rejected,Male,Sales Department,i4,25582
773816,2014-05-10 20:09:00,Rejected,Female,Sales Department,i4,31548
244695,2014-05-10 03:16:00,Rejected,Male,Service Department,i4,20095
458216,2014-05-12 08:27:00,Hired,Female,Operations Department,i6,67976
702304,2014-05-12 08:24:00,Rejected,Don? want to say,Operations Department,i6,45539
788145,2014-05-12 18:26:00,Rejected,Male,Service Department,c5,80465
841217,2014-05-12 18:26:00,Rejected,Male,Service Department,c5,85634
599654,2014-05-13 18:40:00,Rejected,Male,Marketing Department,i1,97081
272804,2014-05-13 18:41:00,Hired,Male,Marketing Department,i1,28445
114169,2014-05-13 18:41:00,Hired,Female,Marketing Department,i1,42946
644226,2014-05-13 18:42:00,Rejected,Female,Marketing Department,i1,73532
576340,2014-05-13 09:18:00,Hired,Female,Operations Department,i7,55469
305032,2014-05-13 09:19:00,Hired,Female,Operations Department,i7,90807
814453,2014-05-13 09:19:00,Hired,Don? want to say,Operations Department,i7,68515
658727,2014-05-13 17:44:00,Rejected,Female,Operations Department,c5,41577
26472,2014-05-13 19:57:00,Hired,Male,Purchase Department,i6,43261
468867,2014-05-13 18:56:00,Rejected,Female,General Management,c5,23446
521234,2014-05-13 11:03:00,Hired,Don? want to say,Operations Department,i4,44582
796234,2014-05-14 13:28:00,Rejected,Male,Service Department,c8,55777
736087,2014-05-14 13:30:00,Rejected,Male,Service Department,c8,91475
17030,2014-05-14 13:32:00,Rejected,Female,Service Department,c8,21244
656629,2014-05-14 15:03:00,Rejected,Female,Finance Department,i4,79762
831439,2014-05-14 15:06:00,Rejected,Female,Finance Department,i4,69765
243961,2014-05-14 15:50:00,Rejected,Male,Purchase Department,c5,30809
956145,2014-05-15 08:27:00,Rejected,Male,Sales Department,c5,78988
730676,2014-05-15 08:27:00,Rejected,Male,Sales Department,c5,34674
255026,2014-05-15 08:27:00,Rejected,Male,Sales Department,c5,56938
404918,2014-05-15 08:27:00,Rejected,Male,Sales Department,c5,21848
809992,2014-05-15 16:17:00,Rejected,Male,Marketing Department,c5,55595
691216,2014-05-15 09:56:00,Rejected,Male,Service Department,c-10,67066
382645,2014-05-15 09:57:00,Hired,Male,Service Department,c-10,65587
767003,2014-05-15 10:01:00,Hired,Male,Service Department,c-10,73396
412827,2014-05-15 15:57:00,Rejected,Male,Service Department,c-10,76789
912261,2014-05-15 13:48:00,Rejected,Male,Sales Department,i5,59625
881891,2014-05-15 13:51:00,Hired,Female,Sales Department,i5,41895
574621,2014-05-15 11:29:00,Rejected,Female,Operations Department,i7,31546
105729,2014-05-15 16:13:00,Rejected,Male,Service Department,c-10,80817
961551,2014-05-15 20:41:00,Rejected,Male,Operations Department,i6,31050
19370,2014-05-16 09:57:00,Rejected,Female,Service Department,i4,62082
462721,2014-05-16 16:49:00,Rejected,Male,Operations Department,i4,26530
381072,2014-05-16 16:50:00,Hired,Male,Operations Department,i4,67685
664109,2014-05-16 16:54:00,Hired,Male,Operations Department,i4,42782
505365,2014-05-16 18:06:00,Hired,Don? want to say,Human Resource Department,i5,79702
132154,2014-05-16 18:07:00,Rejected,Don? want to say,Human Resource Department,i5,82599
482656,2014-05-29 09:19:00,Hired,Female,Production Department,i7,97814
735179,2014-05-29 09:20:00,Rejected,Male,Production Department,i7,25931
813519,2014-05-29 09:19:00,Rejected,Don? want to say,Production Department,i7,83585
225116,2014-05-16 17:41:00,Hired,Male,Operations Department,i1,25711
583818,2014-05-18 17:49:00,Rejected,Male,Service Department,i7,95633
192500,2014-05-18 17:53:00,Rejected,Male,Operations Department,i6,78192
641336,2014-05-18 17:53:00,Hired,Female,Operations Department,i6,22267
466709,2014-05-19 13:22:00,Hired,Female,Production Department,i7,49631
318812,2014-05-19 12:58:00,Hired,Female,Sales Department,c5,84858
303466,2014-05-19 13:17:00,Rejected,Male,Production Department,c-10,81257
549934,2014-05-19 13:18:00,Rejected,Male,Production Department,c-10,59735
151361,2014-05-20 18:56:00,Rejected,Female,Service Department,c8,87397
299540,2014-05-20 17:03:00,Rejected,Female,General Management,c-10,98404
66952,2014-05-20 17:04:00,Rejected,Male,General Management,c-10,58443
372707,2014-05-20 17:05:00,Rejected,Female,General Management,c-10,92123
703540,2014-05-20 17:06:00,Hired,Female,General Management,c-10,77027
838911,2014-05-20 17:03:00,Hired,Male,General Management,c-10,98822
716333,2014-05-20 17:03:00,Hired,Don? want to say,General Management,c-10,71461
350612,2014-05-20 19:45:00,Hired,Male,Service Department,b9,56549
101674,2014-05-20 09:49:00,Rejected,Male,Production Department,c5,78365
542532,2014-05-20 09:51:00,Rejected,Female,Production Department,c5,43729
626271,2014-05-20 09:49:00,Rejected,Don? want to say,Production Department,c5,84745
272182,2014-05-20 12:28:00,Hired,Female,Service Department,i6,56534
942393,2014-05-20 16:02:00,Rejected,Male,Purchase Department,i4,71981
118533,2014-05-20 16:05:00,Hired,Male,Purchase Department,i4,68969
646468,2014-05-21 08:56:00,Rejected,Male,Service Department,i4,47396
29796,2014-05-21 08:57:00,Rejected,Male,Service Department,i4,31993
484007,2014-05-21 08:59:00,Rejected,Male,Service Department,i4,38842
485806,2014-05-21 08:58:00,Rejected,Female,Service Department,i4,98316
34378,2014-05-21 14:21:00,Rejected,Female,Service Department,i7,80894
745574,2014-05-21 14:21:00,Rejected,Male,Service Department,i7,84147
508134,2014-05-21 14:24:00,Rejected,Male,Service Department,i7,65393
826902,2014-05-21 12:35:00,Rejected,Female,Finance Department,c-10,23823
25028,2014-05-21 18:45:00,Rejected,Male,Service Department,c5,35787
891404,2014-05-21 18:03:00,Rejected,Male,Service Department,i4,51426
456232,2014-05-21 17:35:00,Rejected,Male,Service Department,i4,23558
488788,2014-05-21 15:06:00,Rejected,Male,Sales Department,c5,65543
757514,2014-05-21 04:02:00,Hired,Female,Operations Department,c5,76575
337880,2014-05-21 04:03:00,Hired,Male,Operations Department,c5,50520
806305,2014-05-21 12:46:00,Hired,Male,Operations Department,i7,97253
382693,2014-05-21 16:06:00,Rejected,Female,Service Department,c8,87084
150277,2014-05-22 22:18:00,Rejected,Male,Sales Department,c-10,91928
827372,2014-05-22 09:09:00,Rejected,Male,Service Department,i7,28224
321721,2014-05-22 14:01:00,Hired,Female,Production Department,i7,86922
406013,2014-05-22 14:03:00,Rejected,Male,Production Department,i7,39389
515475,2014-05-22 18:09:00,Rejected,Male,Sales Department,i5,79905
29574,2014-05-22 18:10:00,Rejected,Female,Sales Department,i5,45265
797115,2014-05-22 18:15:00,Hired,Male,Sales Department,i5,21768
183456,2014-05-22 23:57:00,Rejected,Male,Service Department,i4,68579
812987,2014-05-22 09:12:00,Hired,Female,Purchase Department,i7,82746
463120,2014-05-22 09:14:00,Hired,Female,Purchase Department,i7,87381
256912,2014-05-22 16:46:00,Hired,Male,Operations Department,i5,95863
524606,2014-05-22 16:49:00,Rejected,Male,Operations Department,i5,29743
206017,2014-05-22 10:30:00,Rejected,Male,Service Department,i4,48490
855219,2014-05-23 16:24:00,Rejected,Male,Service Department,c8,96918
725295,2014-05-27 16:26:00,Rejected,Male,Operations Department,c-10,45985
328190,2014-05-26 14:51:00,Rejected,Male,Purchase Department,c-10,58037
634463,2014-05-26 13:24:00,Rejected,Male,Marketing Department,i7,21913
721691,2014-05-26 01:43:00,Rejected,Female,Finance Department,c8,48957
872878,2014-05-26 15:07:00,Rejected,Male,Production Department,i5,22549
437082,2014-05-26 03:02:00,Rejected,Male,Operations Department,i4,88483
693950,2014-05-26 13:44:00,Rejected,Male,Service Department,c8,20489
213968,2014-05-26 14:43:00,Rejected,Male,Operations Department,i4,33603
968918,2014-05-27 09:55:00,Rejected,Male,Operations Department,i6,86860
200462,2014-05-27 09:57:00,Hired,Male,Operations Department,i6,42285
180642,2014-05-27 19:44:00,Rejected,Male,Marketing Department,c-10,69642
231975,2014-05-27 14:14:00,Rejected,Female,Operations Department,i4,31465
905452,2014-05-27 14:17:00,Hired,Female,Operations Department,i4,55812
550693,2014-05-27 14:18:00,Rejected,Male,Operations Department,i4,79788
495892,2014-05-27 14:15:00,Hired,Don? want to say,Operations Department,i4,39922
359390,2014-05-27 17:17:00,Rejected,Male,Operations Department,i7,87516
167998,2014-05-27 17:18:00,Hired,Female,Operations Department,i7,49768
481220,2014-05-27 10:58:00,Rejected,Male,Service Department,i7,58968
387131,2014-05-27 10:59:00,Rejected,Male,Service Department,i7,95697
723507,2014-05-27 12:26:00,Rejected,Female,General Management,c5,55511
874807,2014-05-27 12:27:00,Rejected,Female,General Management,c5,81603
501620,2014-05-27 12:28:00,Rejected,Female,General Management,c5,58559
109266,2014-05-27 18:17:00,Hired,Female,Finance Department,i7,68952
516967,2014-05-27 18:17:00,Hired,Don? want to say,Finance Department,i7,48308
265784,2014-05-28 12:02:00,Rejected,Female,Finance Department,i5,59628
216582,2014-05-28 08:19:00,Hired,Male,Operations Department,i4,36542
846310,2014-05-28 08:20:00,Hired,Female,Operations Department,i4,74691
13742,2014-05-28 01:42:00,Hired,Male,Production Department,c-10,40601
773059,2014-05-28 11:23:00,Rejected,Male,Operations Department,i4,25881
876247,2014-05-28 00:32:00,Rejected,Male,Operations Department,i7,25873
714683,2014-05-28 00:33:00,Hired,Male,Operations Department,i7,33839
630224,2014-05-28 00:34:00,Hired,Male,Operations Department,i7,29298
445539,2014-06-13 14:30:00,Hired,Male,Operations Department,i7,52199
65835,2014-06-13 14:31:00,Rejected,Female,Operations Department,i7,30886
402829,2014-06-13 14:32:00,Hired,Male,Operations Department,i7,22524
937743,2014-05-28 11:16:00,Rejected,Male,Marketing Department,c5,52971
865692,2014-05-28 10:40:00,Rejected,Male,Operations Department,c-10,77581
913308,2014-05-28 04:56:00,Rejected,Male,Production Department,i6,65249
67222,2014-05-29 18:46:00,Hired,Male,Operations Department,c-10,72545
280350,2014-05-29 18:47:00,Hired,Female,Operations Department,c-10,44767
587939,2014-05-29 12:15:00,Rejected,Male,Operations Department,i6,28753
493551,2014-05-29 12:17:00,Hired,Male,Operations Department,i6,54524
792362,2014-05-29 06:44:00,Hired,Male,Service Department,c5,95011
614502,2014-05-29 06:43:00,Hired,Female,Service Department,c5,90897
363830,2014-05-29 08:54:00,Rejected,Male,Purchase Department,c5,41908
212493,2014-05-29 08:54:00,Hired,Male,Purchase Department,c5,30114
524904,2014-05-29 08:56:00,Rejected,Female,Purchase Department,c5,66608
359609,2014-06-01 07:04:00,Hired,Male,Purchase Department,c5,65247
24310,2014-05-29 12:24:00,Rejected,Male,Service Department,i4,63559
906700,2014-05-30 18:46:00,Rejected,Male,Operations Department,b9,55465
772644,2014-05-30 08:07:00,Rejected,Male,Service Department,c-10,56488
79758,2014-05-30 08:09:00,Rejected,Male,Service Department,c-10,55553
582449,2014-06-04 07:21:00,Rejected,Male,Operations Department,c8,50000
413388,2014-05-30 09:14:00,Rejected,Don? want to say,Operations Department,i4,77422
938274,2014-06-12 15:46:00,Hired,Female,Operations Department,c5,67823
657117,2014-06-02 22:30:00,Rejected,Male,Operations Department,i4,56255
22963,2014-06-02 22:33:00,Rejected,Female,Operations Department,i4,53806
880451,2014-06-02 07:13:00,Rejected,Male,Operations Department,b9,90362
187096,2014-06-02 17:14:00,Hired,Female,Production Department,c5,26954
333678,2014-06-02 11:21:00,Rejected,Male,Operations Department,b9,59001
579048,2014-06-02 11:21:00,Hired,Male,Operations Department,b9,33534
133347,2014-06-02 11:21:00,Hired,Male,Operations Department,b9,47686
20595,2014-06-02 13:08:00,Rejected,Male,Production Department,c8,57407
12320,2014-06-02 13:10:00,Rejected,Male,Production Department,c8,56727
68151,2014-06-03 12:44:00,Rejected,Male,Service Department,c-10,86486
567549,2014-06-03 12:47:00,Hired,Male,Service Department,c-10,34243
379251,2014-06-03 12:15:00,Rejected,Male,Sales Department,i5,25492
540849,2014-06-03 12:15:00,Rejected,Male,Sales Department,i5,38787
270850,2014-06-14 10:49:00,Hired,Female,Service Department,i4,56501
754298,2014-06-14 10:50:00,Hired,Female,Service Department,i4,57362
840739,2014-06-03 23:15:00,Rejected,Female,Purchase Department,c-10,42449
944802,2014-06-03 10:57:00,Rejected,Male,Service Department,c5,91116
528415,2014-06-03 10:57:00,Hired,Male,Service Department,c5,51584
831750,2014-06-03 08:25:00,Hired,Male,Service Department,i4,60967
366864,2014-06-03 20:46:00,Hired,Male,Service Department,c8,55146
787584,2014-06-04 12:27:00,Rejected,Male,Human Resource Department,i5,80309
506061,2014-06-04 21:38:00,Rejected,Male,Operations Department,c5,52054
832162,2014-06-04 21:40:00,Rejected,Male,Operations Department,c5,72134
71829,2014-06-04 00:59:00,Hired,Female,Service Department,i1,47003
240857,2014-06-04 10:40:00,Hired,Male,Service Department,b9,59017
983968,2014-06-13 15:43:00,Hired,Female,Service Department,c-10,78320
717149,2014-06-04 07:56:00,Rejected,Male,Operations Department,b9,60135
33558,2014-06-04 07:57:00,Rejected,Male,Operations Department,b9,99019
817082,2014-06-04 13:19:00,Rejected,Female,Operations Department,i7,47617
372328,2014-06-04 18:14:00,Hired,Male,Service Department,i4,99389
290105,2014-06-04 18:16:00,Hired,Female,Service Department,i4,86123
524956,2014-06-05 10:40:00,Rejected,Male,Service Department,i5,20944
525261,2014-06-05 10:41:00,Hired,Male,Service Department,i5,67992
422877,2014-06-05 15:38:00,Rejected,Male,Purchase Department,i5,47241
140614,2014-06-05 01:45:00,Rejected,Male,Operations Department,i6,46314
508051,2014-06-05 04:15:00,Rejected,Male,Operations Department,c8,68865
896420,2014-06-05 04:19:00,Hired,Male,Operations Department,c8,64751
868204,2014-06-05 13:39:00,Rejected,Male,Operations Department,i4,57536
462656,2014-07-24 09:19:00,Hired,Don? want to say,Operations Department,i5,52411
516379,2014-06-05 17:25:00,Rejected,Female,Service Department,i4,29273
951881,2014-06-05 16:07:00,Rejected,Male,Service Department,i4,72083
147127,2014-06-05 08:17:00,Rejected,Male,Operations Department,i1,83490
730892,2014-06-06 18:01:00,Hired,Male,Sales Department,c8,80788
206532,2014-06-06 08:42:00,Rejected,Female,Sales Department,i5,72786
481356,2014-06-14 04:22:00,Rejected,Female,Production Department,c9,34472
39266,2014-06-06 17:28:00,Rejected,Male,Service Department,c5,22817
284817,2014-06-07 02:51:00,Rejected,Female,Finance Department,c9,29015
635035,2014-06-07 02:52:00,Rejected,Female,Finance Department,c9,95642
480056,2014-06-08 14:15:00,Rejected,Male,Marketing Department,b9,44936
427013,2014-06-08 18:56:00,Rejected,Male,Operations Department,b9,91976
894420,2014-06-08 17:29:00,Rejected,Male,Sales Department,c9,86412
246137,2014-06-08 10:41:00,Hired,Male,Marketing Department,c8,54866
858212,2014-07-02 17:23:00,Rejected,Male,Operations Department,c5,58078
818753,2014-06-09 03:20:00,Rejected,Male,Marketing Department,c9,33587
594873,2014-06-09 13:24:00,Rejected,Male,Sales Department,c5,39688
139046,2014-06-09 13:25:00,Rejected,Male,Sales Department,c5,60263
359285,2014-06-09 13:29:00,Rejected,Male,Sales Department,c9,22123
619825,2014-06-09 23:57:00,Hired,Male,Service Department,i5,44020
220653,2014-06-09 09:44:00,Hired,Male,Production Department,b9,70753
687198,2014-06-09 00:37:00,Rejected,Male,Service Department,c5,64093
643354,2014-06-09 18:54:00,Rejected,Male,Service Department,c8,51235
797497,2014-06-09 23:25:00,Rejected,Male,Service Department,c9,76959
214058,2014-06-09 23:28:00,Rejected,Male,Service Department,c9,53154
899341,2014-06-10 10:55:00,Rejected,Male,Operations Department,i7,77767
251517,2014-06-10 12:05:00,Rejected,Male,Operations Department,i6,87908
915603,2014-06-10 17:48:00,Rejected,Male,Operations Department,b9,44588
117676,2014-06-10 00:11:00,Rejected,Male,Service Department,c8,83450
106504,2014-06-10 00:11:00,Rejected,Male,Service Department,c8,61895
495662,2014-06-11 13:32:00,Rejected,Male,Production Department,c9,77165
891509,2014-06-11 17:54:00,Hired,Male,Operations Department,c-10,59501
821506,2014-06-11 17:55:00,Rejected,Male,Operations Department,c-10,35386
933454,2014-06-11 08:12:00,Hired,Male,Operations Department,c5,92060
867135,2014-06-11 12:31:00,Rejected,Male,Sales Department,i5,78364
228826,2014-06-11 06:19:00,Rejected,Female,General Management,c9,73850
812681,2014-06-11 00:42:00,Rejected,Male,Service Department,c8,22913
280565,2014-06-11 10:38:00,Hired,Male,Purchase Department,c5,60262
272553,2014-06-12 08:30:00,Rejected,Female,General Management,i6,69011
781537,2014-06-12 12:58:00,Rejected,Male,Service Department,c9,49388
919066,2014-06-12 12:55:00,Rejected,Male,Sales Department,i6,26296
295087,2014-06-12 11:52:00,Rejected,Male,Service Department,c5,63091
448658,2014-06-12 11:53:00,Rejected,Male,Service Department,c5,75179
134620,2014-06-12 11:56:00,Hired,Male,Service Department,c5,29047
98630,2014-06-12 03:25:00,Rejected,Female,Operations Department,c5,57640
743668,2014-06-12 03:28:00,Hired,Female,Operations Department,c5,51576
112172,2014-06-12 10:46:00,Hired,Male,Sales Department,i5,22976
284546,2014-06-12 10:47:00,Hired,Don? want to say,Sales Department,i5,21763
589650,2014-06-12 15:50:00,Rejected,Male,Marketing Department,i6,70774
385568,2014-06-13 07:06:00,Rejected,Male,Sales Department,i7,46995
422447,2014-06-13 07:09:00,Rejected,Female,Sales Department,i7,88883
803693,2014-06-13 07:07:00,Hired,Don? want to say,Sales Department,i7,46351
605070,2014-06-13 20:11:00,Hired,Male,Operations Department,c9,53264
692274,2014-06-14 14:55:00,Hired,Male,Service Department,i7,45379
140135,2014-06-14 11:28:00,Rejected,Male,Sales Department,c8,52605
278058,2014-06-14 15:55:00,Rejected,Male,Service Department,c5,24232
155879,2014-06-15 12:08:00,Rejected,Male,Operations Department,c5,87290
690984,2014-06-15 16:18:00,Rejected,Male,Service Department,c5,80410
860350,2014-06-15 16:19:00,Rejected,Male,Service Department,c5,76864
129706,2014-06-16 11:26:00,Rejected,Male,Marketing Department,i5,91589
232317,2014-06-16 12:20:00,Hired,Female,Human Resource Department,c9,55923
450279,2014-06-16 15:10:00,Rejected,Female,General Management,i5,80347
959439,2014-06-16 15:10:00,Hired,Female,General Management,i5,38516
281797,2014-06-16 15:10:00,Hired,Don? want to say,General Management,i5,44331
595958,2014-06-16 02:47:00,Rejected,Male,Marketing Department,i7,84718
717204,2014-06-16 15:38:00,Hired,Male,Operations Department,i7,61734
865820,2014-06-16 15:40:00,Hired,Male,Operations Department,i7,41177
211845,2014-06-16 15:43:00,Hired,Male,Operations Department,i7,40367
728259,2014-07-04 15:37:00,Rejected,Male,Operations Department,i6,96553
378829,2014-07-04 15:39:00,Rejected,Male,Operations Department,i6,68165
782971,2014-07-07 13:42:00,Hired,Female,Operations Department,i6,47196
746982,2014-07-07 13:40:00,Hired,Don? want to say,Operations Department,i6,78657
882121,2014-06-16 17:03:00,Rejected,Male,Operations Department,i7,69497
960400,2014-06-16 07:31:00,Rejected,Male,Sales Department,i7,44449
292179,2014-06-16 10:20:00,Rejected,Male,Operations Department,c9,64722
112074,2014-06-16 11:06:00,Hired,Male,Production Department,i6,95519
976582,2014-07-07 16:24:00,Hired,Male,Production Department,i6,45087
833229,2014-07-07 16:24:00,Rejected,Male,Production Department,i6,91891
703438,2014-06-17 19:50:00,Rejected,Male,Sales Department,i5,68761
306707,2014-06-17 12:56:00,Rejected,Male,Operations Department,c-10,68773
174113,2014-06-17 11:11:00,Rejected,Male,Service Department,i5,80424
793265,2014-06-17 13:31:00,Rejected,Male,Service Department,c9,22786
598035,2014-06-17 09:43:00,Hired,Male,Service Department,i6,21448
693363,2014-06-17 09:45:00,Hired,Female,Service Department,i6,98086
978878,2014-06-17 09:41:00,Rejected,Don? want to say,Service Department,i6,23580
741707,2014-06-17 15:55:00,Hired,Female,Sales Department,c-10,54390
124924,2014-06-17 08:56:00,Rejected,Male,Operations Department,i7,62508
570987,2014-06-20 01:06:00,Rejected,Female,Operations Department,i1,55211
821427,2014-06-18 16:30:00,Hired,Male,Service Department,c8,87189
431469,2014-06-18 23:53:00,Rejected,Male,Service Department,c9,42782
87527,2014-06-18 15:17:00,Rejected,Male,Service Department,i5,68759
749355,2014-06-18 11:59:00,Rejected,Male,Marketing Department,c-10,93633
450487,2014-06-18 12:00:00,Hired,Female,Marketing Department,c-10,94599
427831,2014-06-18 12:11:00,Rejected,Male,Operations Department,c9,66048
17608,2014-06-18 12:12:00,Rejected,Male,Operations Department,c9,22580
777059,2014-06-18 12:38:00,Rejected,Male,Service Department,c5,30344
249616,2014-06-18 12:40:00,Rejected,Male,Service Department,c5,35271
583928,2014-06-18 12:43:00,Hired,Male,Service Department,c5,50946
75888,2014-06-18 05:31:00,Hired,Don? want to say,Marketing Department,c9,83771
990771,2014-06-18 17:21:00,Rejected,Male,Service Department,c9,54606
963868,2014-06-18 17:21:00,Rejected,Male,Service Department,c9,73842
228644,2014-06-18 14:26:00,Rejected,Male,Service Department,c5,82625
840497,2014-06-19 12:47:00,Rejected,Female,Finance Department,c5,72452
612764,2014-06-19 15:51:00,Rejected,Female,Production Department,c5,65012
140937,2014-06-19 14:49:00,Rejected,Male,Marketing Department,i7,27197
157059,2014-06-19 16:48:00,Rejected,Male,Production Department,c9,25222
18776,2014-06-19 17:44:00,Rejected,Male,Purchase Department,i1,62050
316797,2014-06-20 09:56:00,Rejected,Male,Operations Department,c-10,38779
831922,2014-06-20 04:52:00,Hired,Male,Purchase Department,c9,98409
339313,2014-06-20 15:26:00,Rejected,Female,General Management,c9,21220
58885,2014-06-20 15:31:00,Rejected,Female,General Management,c9,73385
469633,2014-06-20 09:45:00,Rejected,Male,Sales Department,i6,62700
604341,2014-06-20 09:46:00,Rejected,Male,Sales Department,i6,30898
445431,2014-06-20 15:09:00,Rejected,Male,Service Department,i5,44717
529856,2014-06-20 15:10:00,Hired,Male,Service Department,i5,52346
617345,2014-06-20 15:11:00,Hired,Don? want to say,Service Department,i5,63678
931047,2014-06-20 15:11:00,Rejected,Don? want to say,Service Department,i5,47860
212844,2014-06-20 16:39:00,Hired,Female,Finance Department,c9,59213
496033,2014-06-20 16:40:00,Rejected,Female,Finance Department,c9,38102
80259,2014-06-20 08:20:00,Hired,Female,Sales Department,c-10,55952
278631,2014-06-20 13:35:00,Rejected,Male,Operations Department,i5,71755
431577,2014-06-20 13:37:00,Hired,Male,Operations Department,i5,61930
